"filename", "language", "pip requirements", "Python", "Shell Script", "JavaScript", "XML", "PostCSS", "Markdown", "HTML", "Ignore", "Docker", "comment", "blank", "total"
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0004_rename_workers_team_membership_users_and_more.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0005_alter_accesscode_team_accesscode_one_code_per_team.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0006_alter_teammembership_one_team_per_user_and_more.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0007_accesscode_masked_id.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0008_team_working_files.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/0009_alter_accesscode_team.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/home/boba2323/crumpet/fts-full/ftscore/permissions/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/boba2323/crumpet/fts-full/ftscore/permissions/models.py", "Python", 0, 274, 0, 0, 0, 0, 0, 0, 0, 0, 149, 81, 504
"/home/boba2323/crumpet/fts-full/ftscore/permissions/serializers.py", "Python", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 50, 38, 268
"/home/boba2323/crumpet/fts-full/ftscore/permissions/service_layer/__init__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"/home/boba2323/crumpet/fts-full/ftscore/permissions/service_layer/team_service.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 61
"/home/boba2323/crumpet/fts-full/ftscore/permissions/special_permissions.py", "Python", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 35, 17, 177
"/home/boba2323/crumpet/fts-full/ftscore/permissions/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 14
"/home/boba2323/crumpet/fts-full/ftscore/permissions/testview.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/boba2323/crumpet/fts-full/ftscore/permissions/urls.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 16
"/home/boba2323/crumpet/fts-full/ftscore/permissions/views.py", "Python", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 27, 26, 155
"/home/boba2323/crumpet/fts-full/ftscore/requirements.txt", "pip requirements", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/autocomplete.css", "PostCSS", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 50, 280
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/base.css", "PostCSS", 0, 0, 0, 0, 0, 935, 0, 0, 0, 0, 32, 217, 1184
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/changelists.css", "PostCSS", 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 8, 63, 344
"/home/boba2323/crumpet/fts-full/ftscore/staticfiles/admin/css/dark_mode.css", "PostCSS", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 6, 29, 131
