"filename", "language", "XML", "JavaScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/UtilsErrorRendering/ErrorRenderHandle.jsx", "JavaScript JSX", 0, 34, 0, 0, 5, 3, 42
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/components/Workspace/Workspace.jsx", "JavaScript JSX", 0, 94, 0, 0, 3, 8, 105
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/index.css", "PostCSS", 0, 0, 3, 0, 70, 1, 74
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 2, 11
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/AuthBanner.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 1, 10
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/AuthButton.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 1, 15
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/InputLabel.jsx", "JavaScript JSX", 0, 33, 0, 0, 1, 5, 39
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/Login.jsx", "JavaScript JSX", 0, 134, 0, 0, 21, 16, 171
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/Login.module.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/Logout.jsx", "JavaScript JSX", 0, 52, 0, 0, 8, 5, 65
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/pages/Signup.jsx", "JavaScript JSX", 0, 129, 0, 0, 8, 18, 155
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/routes/ProtectedRoutes.jsx", "JavaScript JSX", 0, 12, 0, 0, 10, 7, 29
"/home/boba2323/crumpet/fts-full/ftsfrontend/react-frontend/src/routes/index.jsx", "JavaScript JSX", 0, 228, 0, 0, 18, 26, 272
"Total", "-", 1, 5367, 43, 3, 500, 606, 6520
